"age","year","childs","zodiac"
56,2014,0,"scorpio"
37,2014,1,"gemini"
50,2014,1,"cancer"
63,2014,0,"capricorn"
45,2014,0,NA
50,2014,2,"virgo"
23,2014,0,"leo"
21,2014,0,"virgo"
60,2014,0,"capricorn"
40,2014,0,"cancer"
28,2014,0,"aquarius"
43,2014,0,NA
22,2014,0,"leo"
41,2014,5,"aquarius"
29,2014,0,NA
22,2014,0,"cancer"
33,2014,1,"capricorn"
42,2014,1,"aries"
29,2014,0,"sagittarius"
71,2014,2,"scorpio"
44,2014,3,"leo"
61,2014,2,"sagittarius"
80,2014,4,"capricorn"
30,2014,0,"leo"
33,2014,1,"sagittarius"
69,2014,3,"taurus"
37,2014,3,"leo"
70,2014,2,"virgo"
64,2014,3,"leo"
76,2014,1,"aries"
76,2014,2,"aquarius"
50,2014,2,"scorpio"
38,2014,3,"leo"
77,2014,0,"capricorn"
49,2014,2,NA
43,2014,2,"aries"
49,2014,0,"capricorn"
64,2014,0,NA
36,2014,3,"leo"
49,2014,2,"sagittarius"
45,2014,4,"virgo"
68,2014,2,"libra"
79,2014,3,"leo"
53,2014,2,"aries"
74,2014,2,"taurus"
77,2014,0,"virgo"
30,2014,1,"virgo"
44,2014,3,"leo"
56,2014,5,"cancer"
31,2014,4,"virgo"
65,2014,4,"virgo"
55,2014,8,"pisces"
55,2014,2,NA
54,2014,3,"aquarius"
75,2014,1,"aquarius"
53,2014,2,"cancer"
45,2014,3,"scorpio"
71,2014,1,"capricorn"
32,2014,2,"sagittarius"
33,2014,1,"libra"
72,2014,3,"cancer"
70,2014,1,"taurus"
58,2014,1,"scorpio"
54,2014,0,"pisces"
70,2014,3,"libra"
47,2014,3,"pisces"
47,2014,2,"pisces"
33,2014,5,"libra"
47,2014,2,"taurus"
40,2014,2,"cancer"
42,2014,4,"aries"
56,2014,1,"scorpio"
66,2014,3,"gemini"
55,2014,2,"capricorn"
74,2014,6,"taurus"
18,2014,0,"taurus"
58,2014,2,"gemini"
76,2014,8,"sagittarius"
66,2014,2,"gemini"
62,2014,1,"gemini"
70,2014,8,"taurus"
53,2014,2,"virgo"
83,2014,2,"capricorn"
66,2014,0,"scorpio"
30,2014,1,NA
61,2014,3,"capricorn"
81,2014,2,"pisces"
71,2014,0,"scorpio"
80,2014,3,"aquarius"
74,2014,1,"gemini"
57,2014,3,NA
58,2014,2,"sagittarius"
47,2014,3,"capricorn"
55,2014,5,"aries"
29,2014,0,"libra"
36,2014,2,"libra"
44,2014,4,"scorpio"
43,2014,3,"aries"
26,2014,0,"cancer"
64,2014,3,"pisces"
71,2014,2,"taurus"
67,2014,2,NA
31,2014,1,"aries"
40,2014,1,"capricorn"
47,2014,0,"pisces"
70,2014,3,"aries"
29,2014,0,NA
69,2014,2,"scorpio"
61,2014,1,"libra"
62,2014,2,NA
21,2014,0,"aquarius"
41,2014,0,"gemini"
35,2014,0,"scorpio"
67,2014,2,"cancer"
76,2014,3,"capricorn"
30,2014,0,"capricorn"
55,2014,1,"scorpio"
63,2014,7,"aquarius"
26,2014,1,"sagittarius"
49,2014,2,"aquarius"
32,2014,0,"leo"
42,2014,1,"leo"
50,2014,1,"sagittarius"
48,2014,3,"aquarius"
76,2014,3,"pisces"
53,2014,1,"scorpio"
31,2014,3,"sagittarius"
37,2014,0,"aries"
46,2014,4,"aries"
40,2014,0,"libra"
25,2014,1,"libra"
61,2014,1,"virgo"
50,2014,0,"aquarius"
51,2014,3,"scorpio"
57,2014,3,"virgo"
79,2014,5,"cancer"
31,2014,2,"leo"
24,2014,3,"leo"
61,2014,3,"gemini"
62,2014,5,"aries"
64,2014,1,"libra"
54,2014,1,"virgo"
24,2014,1,"capricorn"
79,2014,0,"virgo"
33,2014,2,"aquarius"
27,2014,4,"pisces"
36,2014,1,"leo"
19,2014,0,"aquarius"
59,2014,2,"libra"
63,2014,4,"cancer"
41,2014,1,"scorpio"
36,2014,0,"aries"
36,2014,3,"sagittarius"
40,2014,2,"pisces"
33,2014,4,NA
32,2014,3,"sagittarius"
47,2014,4,"capricorn"
39,2014,1,"taurus"
25,2014,0,"cancer"
20,2014,0,"taurus"
32,2014,4,"gemini"
32,2014,0,"taurus"
46,2014,0,"leo"
57,2014,0,"scorpio"
60,2014,1,"cancer"
59,2014,0,"gemini"
47,2014,3,"scorpio"
57,2014,1,"aries"
67,2014,2,"aries"
65,2014,3,"gemini"
61,2014,2,"libra"
36,2014,4,"gemini"
37,2014,0,"capricorn"
80,2014,1,"sagittarius"
26,2014,0,"capricorn"
33,2014,0,"gemini"
27,2014,0,"taurus"
34,2014,0,"sagittarius"
50,2014,1,NA
58,2014,0,"cancer"
39,2014,0,"virgo"
70,2014,3,"gemini"
24,2014,5,"libra"
40,2014,4,"virgo"
48,2014,2,"sagittarius"
58,2014,1,NA
57,2014,3,"scorpio"
76,2014,3,"virgo"
53,2014,2,"virgo"
30,2014,0,"pisces"
64,2014,2,"leo"
59,2014,4,"libra"
88,2014,3,"libra"
61,2014,1,"aries"
50,2014,2,"pisces"
76,2014,0,"sagittarius"
27,2014,0,"gemini"
27,2014,2,"aquarius"
21,2014,0,"aries"
29,2014,0,"libra"
59,2014,7,"taurus"
32,2014,2,"cancer"
37,2014,2,"scorpio"
37,2014,2,"scorpio"
40,2014,0,"taurus"
51,2014,0,"scorpio"
26,2014,1,"leo"
71,2014,0,"leo"
53,2014,3,"gemini"
45,2014,2,"leo"
53,2014,2,"aquarius"
22,2014,0,"sagittarius"
58,2014,2,"libra"
50,2014,1,"virgo"
52,2014,1,"sagittarius"
48,2014,4,"gemini"
62,2014,2,"pisces"
26,2014,2,"capricorn"
59,2014,4,"aquarius"
64,2014,1,"sagittarius"
38,2014,3,"pisces"
52,2014,4,"gemini"
28,2014,0,"sagittarius"
73,2014,2,"gemini"
29,2014,0,"pisces"
32,2014,2,"capricorn"
79,2014,5,"taurus"
